Year,Date,Open,High,Low,Close,Adj Close,Volume
2016,18,427.6,429.3,427.1,428.6,428.6,55.70000
2016,19,428.7,436,428.1,435.5,435.5,52.80000
2016,20,435.3,443.1,434.4,441.4,441.4,72.90000
2016,21,441.4,450.5,441,449.4,449.4,68.20000
2016,22,449.7,449.8,444.1,445.7,445.7,58.80000
2016,23,445.9,450.3,444.3,450.3,450.3,50.50000
2016,24,450.6,460.1,448.9,458.6,458.6,68.20000
2016,25,459.1,466.6,453.6,461.4,461.4,87.10000
2016,26,461.6,468,461.6,466.1,466.1,79.00000
2016,27,466.3,467.1,444.1,444.7,444.7,93.60000
2016,28,445,449.6,436.6,449,449,74.10000
2016,29,449.4,455.4,446,455.1,455.1,49.30000
2016,30,455.2,455.6,447.7,448.3,448.3,69.30000
2016,1,448.5,452.5,447.9,451.9,451.9,40.70000
2016,2,451.9,452.4,441.8,444.7,444.7,92.10000
2016,3,444.7,451.1,442.6,450.3,450.3,59.40000
2016,4,450.2,450.4,445.6,446.7,446.7,50.40000
2016,5,446.7,448.5,445.9,448,448,50.40000
2016,6,447.9,461.4,447.1,459.6,459.6,72.80000
2016,7,459.6,460.7,457.3,458.5,458.5,38.40000
2016,8,458.4,459.4,456,458.5,458.5,40.30000
2016,9,458.2,462.5,456.5,460.5,460.5,55.50000
2016,10,460.5,461.9,449,450.9,450.9,59.00000
2016,11,450.9,454.6,450.9,452.7,452.7,50.60000
2016,12,452.4,454.9,449.3,454.8,454.8,59.80000
2016,13,454.9,457.1,453.5,455.7,455.7,60.80000
2016,14,455.8,456.8,454.8,455.7,455.7,37.20000
2016,15,455.8,458.7,455.5,457.6,457.6,28.50000
2016,16,457.6,458.2,452.9,454.2,454.2,59.20000
2016,17,454,455.1,453.6,453.8,453.8,64.10000
2016,18,453.7,456,453.3,454.6,454.6,86.90000
2016,19,454.5,454.6,438.7,438.7,438.7,96.00000
2016,20,437.8,444.1,437.4,442.7,442.7,82.00000
2016,21,443,443.8,441.7,443.2,443.2,42.80000
2016,22,443.2,443.4,439,439.3,439.3,39.70000
2016,23,439.3,444.3,438.8,444.2,444.2,50.60000
2016,24,444.3,447.1,443.9,446,446,65.80000
2016,25,446.1,450.3,446.1,449.6,449.6,65.20000
2016,26,449.7,453.6,447.9,453.4,453.4,65.20000
2016,27,453.5,478.1,453.5,473.5,473.5,165.00000
2016,28,473,533.5,472.7,530,530,181.00000
2016,29,527.5,554,512.2,526.2,526.2,149.00000
2016,30,528.5,544.3,523,533.9,533.9,88.00000
2016,31,534.2,546.6,520.7,531.4,531.4,138.00000
2016,1,531.1,543.1,525.6,536.9,536.9,86.10000
2016,2,536.5,540.4,533.1,538,538,60.40000
2016,3,537.7,574.6,536.9,569.2,569.2,122.00000
2016,4,569.7,590.1,564.2,572.7,572.7,94.90000
2016,5,573.3,582.8,569.2,575,575,68.90000
2016,6,574.6,586.5,574.6,585.5,585.5,72.10000
2016,7,585.4,590.3,567.5,576.6,576.6,108.00000
2016,8,577.2,582.8,573.1,581.6,581.6,80.30000
2016,9,582.2,582.2,571,574.6,574.6,71.30000
2016,10,575.8,579.1,573.3,577.5,577.5,67.00000
2016,11,578.7,607.1,578.7,606.7,606.7,82.40000
2016,12,609.7,684.8,607,672.8,672.8,277.00000
2016,13,671.7,716,664.5,704.4,704.4,243.00000
2016,14,704.5,704.5,662.8,685.6,685.6,187.00000
2016,15,685.7,696.3,672.6,694.5,694.5,99.20000
2016,16,696.5,773.7,696.5,766.3,766.3,272.00000
2016,17,768.5,775.4,716.6,748.9,748.9,363.00000
2016,18,748.8,778,733.9,756.2,756.2,253.00000
2016,19,756.7,766.6,745.6,763.8,763.8,136.00000
2016,20,763.9,764.1,732.7,737.2,737.2,175.00000
2016,21,735.9,735.9,639.1,666.7,666.7,310.00000
2016,22,665.9,678.7,587.5,596.1,596.1,266.00000
2016,23,597.4,629.3,558.1,624,624,253.00000
2016,24,625.6,681.7,625.3,665.3,665.3,224.00000
2016,25,665.3,691.7,646.6,665.1,665.1,127.00000
2016,26,665.9,666,616.9,629.4,629.4,109.00000
2016,27,629.3,655.3,620.5,655.3,655.3,122.00000
2016,28,658.1,659.2,637.8,647,647,138.00000
2016,29,644.1,644.7,628.3,639.9,639.9,142.00000
2016,30,640.6,675.4,636.6,673.3,673.3,139.00000
2016,1,672.5,686.2,669.6,676.3,676.3,134.00000
2016,2,676.7,703.7,676.4,703.7,703.7,112.00000
2016,3,705,705,649,658.7,658.7,130.00000
2016,4,658.8,683.7,650.5,683.7,683.7,92.00000
2016,5,683.2,683.5,665.1,670.6,670.6,130.00000
2016,6,670.4,681.9,670.4,677.3,677.3,135.00000
2016,7,678.1,682.4,611.8,640.6,640.6,258.00000
2016,8,640.7,666.7,636.5,666.5,666.5,142.00000
2016,9,666.4,666.4,633.4,651,651,181.00000
2016,10,650.6,652.3,641.3,649.4,649.4,103.00000
2016,11,648.5,659.6,645,647.7,647.7,108.00000
2016,12,648.3,675.3,646.8,664.6,664.6,138.00000
2016,13,664.8,668.7,654.5,654.5,654.5,131.00000
2016,14,652.9,662.9,652.9,658.1,658.1,98.50000
2016,15,659.2,667.1,659,663.3,663.3,81.70000
2016,16,663.8,666.5,659.3,660.8,660.8,50.30000
2016,17,662,682.4,662,679.5,679.5,74.40000
2016,18,679.8,681.6,668.6,673.1,673.1,69.50000
2016,19,672.7,673.3,667.6,672.9,672.9,61.20000
2016,20,672.8,672.9,663.4,665.7,665.7,94.60000
2016,21,665.2,666.2,660.4,665,665,60.50000
2016,22,664.9,666.6,646.7,650.6,650.6,134.00000
2016,23,650.7,656.4,648.5,655.6,655.6,69.50000
2016,24,655.4,663.1,652.8,661.3,661.3,118.00000
2016,25,661.3,661.8,653.4,654.1,654.1,78.20000
2016,26,654.2,656.2,645.9,651.8,651.8,225.00000
2016,27,651.6,657.5,648.4,654.4,654.4,147.00000
2016,28,654.5,657.6,654.5,655,655,86.40000
2016,29,655.1,657.8,654.8,657,657,60.70000
2016,30,657,658.2,654.2,655,655,38.50000
2016,31,655.1,655.3,624.4,624.7,624.7,111.00000
2016,1,624.6,626.1,605.9,606.3,606.3,122.00000
2016,2,606.4,612.8,531.3,547.5,547.5,331.00000
2016,3,548.7,573.4,541.5,566.4,566.4,208.00000
2016,4,566.3,579.5,565.8,578.3,578.3,125.00000
2016,5,578.3,578.3,570,575,575,66.10000
2016,6,575,588.4,569.5,587.8,587.8,80.80000
2016,7,587.8,597.5,586.8,592.7,592.7,82.40000
2016,8,592.7,593,588,591.1,591.1,61.20000
2016,9,591,591.1,584.8,587.8,587.8,92.20000
2016,10,587.6,600,586.4,592.1,592.1,103.00000
2016,11,592.1,597.5,589.1,589.1,589.1,74.50000
